mode,d,kappa,eps,seeds,method,n,cov_plugin_mean,cov_plugin_se,cov_oracle_mean,cov_oracle_se,cov_oracle_raw_mean,cov_emp_mean,cov_emp_se,vhat_vs_sigma_mean,vhat_vs_emp_mean,nmse_mean,nmse_se,nmse_raw_mean
anchor,21,7.005,1.0,200,adagrad,2000,0.8047619047619048,0.007120888286525418,0.7523809523809524,0.007623234073567641,0.754047619047619,0.9464285714285714,0.004400467111960998,1.891827122916157,0.9601014004328959,15.031572905778765,3.4523439799419444,14.808120595990466
anchor,21,7.005,1.0,200,adagrad,3528,0.825,0.00685125025987273,0.7923809523809524,0.00709716581780549,0.7945238095238095,0.9454761904761905,0.004084331626256183,1.0104343081934166,0.9691819841985562,12.028796148541607,2.8843357663794755,11.849981709080591
anchor,21,7.005,1.0,200,adagrad,6226,0.8485714285714286,0.005931502027530753,0.8257142857142857,0.006246639042077495,0.8266666666666667,0.9495238095238094,0.003988954542004226,0.547985298199448,0.9707020748797867,8.75367536114505,2.124468439637296,8.623547330575953
anchor,21,7.005,1.0,200,adagrad,10985,0.8714285714285714,0.005668637966710736,0.8547619047619047,0.005805191406670968,0.856904761904762,0.9502380952380952,0.003897311950600917,0.309298207615728,0.9636843617786589,5.911060594162553,1.359537110471694,5.823189540923911
anchor,21,7.005,1.0,200,adagrad,19383,0.8885714285714286,0.005179576974929176,0.8773809523809524,0.0052015026311666,0.8802380952380952,0.9497619047619047,0.003654376932738476,0.19025813736680677,0.9430586703780284,3.9591837700908754,0.8054644995549899,3.9003284018703583
anchor,21,7.005,1.0,200,adagrad,34199,0.9047619047619047,0.004701701269406789,0.8978571428571428,0.0048613392060929475,0.899047619047619,0.9530952380952381,0.0034995559799287624,0.11942616873788742,0.9003175459530448,2.7386760428646624,0.4643810606492021,2.6979641698374075
anchor,21,7.005,1.0,200,adagrad,60341,0.9145238095238095,0.004443757139850845,0.9102380952380952,0.004556186952838966,0.9114285714285714,0.9488095238095238,0.003587345880697636,0.07810728179469657,0.825487711332468,2.0491137397024475,0.2682186371497932,2.018652576321507
anchor,21,7.005,1.0,200,adagrad,106467,0.9228571428571428,0.004317106057375469,0.9207142857142857,0.004404866997834399,0.9223809523809524,0.9545238095238094,0.00356120415696341,0.052616075516616,0.7084485802476368,1.6272139089720101,0.15635493139209386,1.6030245105132728
anchor,21,7.005,1.0,200,adagrad,187851,0.9354761904761905,0.003992630718976362,0.934047619047619,0.003975183389133701,0.9361904761904762,0.9542857142857143,0.0033897727612375223,0.035982306835229634,0.5827125461216146,1.3795792914061145,0.09673350782039952,1.3590711129784072
anchor,21,7.005,1.0,200,adagrad,331445,0.9373809523809524,0.004128452595211907,0.9364285714285714,0.00411047295038994,0.9376190476190476,0.9507142857142857,0.0035784409103226497,0.024937155502987765,0.45472280270033766,1.2408057350273751,0.058918169267817094,1.2223604991742567
anchor,21,7.005,1.0,200,adagrad,584803,0.9395238095238095,0.0037240653918945476,0.9385714285714286,0.0037375042018458816,0.9407142857142857,0.9516666666666667,0.003466842252363269,0.017503020342446617,0.3453775725142023,1.1332328920217456,0.03733611873584873,1.1163867835780321
anchor,21,7.005,1.0,200,adagrad,1031829,0.9457142857142857,0.0036205837975944954,0.9447619047619047,0.0035794358669145984,0.9473809523809524,0.9519047619047619,0.003202220938740412,0.012308056109291657,0.3293752505944792,1.0895763419567097,0.02981154494690295,1.0733792113019855
anchor,21,7.005,1.0,200,adagrad,1820564,0.945,0.0036683817073443763,0.9447619047619047,0.0036111297372482475,0.9466666666666668,0.9485714285714286,0.0035300708166230046,0.008689107015520468,0.30203620956272564,1.0581530394813772,0.026445564153160444,1.0424230328969883
anchor,21,7.005,1.0,200,adagrad,3212210,0.9471428571428571,0.003569074760752762,0.9471428571428571,0.003569074760752762,0.9485714285714286,0.9497619047619047,0.003345063624900686,0.00612367033941977,0.28867554005213697,0.9929908044882552,0.023649816896587444,0.9782294691142213
anchor,21,7.005,1.0,200,adagrad,5667636,0.9433333333333332,0.003913250451572301,0.9433333333333332,0.003913250451572301,0.9457142857142857,0.9492857142857143,0.003683570796005144,0.004458616334506,0.311032733313586,1.045862388007783,0.02615198300490441,1.030315088481251
anchor,21,7.005,1.0,200,adagrad,10000000,0.9442857142857143,0.003967041371722121,0.9435714285714286,0.003980912250731141,0.9447619047619047,0.9504761904761905,0.0037565107736426202,0.0032384639968769586,0.3085806344257577,1.0340934235815533,0.02625036083106898,1.0187210759580154
anchor,21,7.005,1.0,200,identity,2000,0.8102380952380952,0.006897166404304353,0.7535714285714286,0.007406689260112968,0.7561904761904762,0.9416666666666668,0.004084889566477184,1.9273544045898583,0.936533839912926,8.836918106559242,1.734650988025434,8.705552628395504
anchor,21,7.005,1.0,200,identity,3528,0.8321428571428571,0.0065101223525927294,0.7930952380952381,0.0068317633744416194,0.7945238095238095,0.9395238095238095,0.003888713892724472,1.0240163691424597,0.9444473751817972,6.7146411760818125,1.3469679768566845,6.614824470963862
anchor,21,7.005,1.0,200,identity,6226,0.8573809523809524,0.005520952756174296,0.8283333333333333,0.0058652148488109275,0.8304761904761905,0.9447619047619047,0.004070953108848042,0.5657346260733551,0.9386118657839313,4.798639984047,0.9242593404251297,4.727305653634674
anchor,21,7.005,1.0,200,identity,10985,0.8819047619047619,0.005566813647962098,0.8630952380952381,0.005668009758367619,0.8642857142857143,0.9464285714285714,0.003950166162880428,0.3349915086542283,0.9115494562436909,3.355377581822201,0.560572163388037,3.3054981130819865
anchor,21,7.005,1.0,200,identity,19383,0.8988095238095238,0.004761156916629337,0.8876190476190476,0.004903842985030467,0.8902380952380952,0.9471428571428571,0.0036945746796320303,0.21078599769017256,0.8517521192726304,2.438488639886421,0.3279698786644738,2.402239211939618
anchor,21,7.005,1.0,200,identity,34199,0.9097619047619047,0.0045714173546165335,0.9045238095238095,0.004646820637213708,0.9064285714285714,0.9514285714285714,0.0035558005362337974,0.13378129921104354,0.749482814774438,1.8555035353304123,0.1883839446666728,1.827920490402989
anchor,21,7.005,1.0,200,identity,60341,0.919047619047619,0.004243094561382134,0.9169047619047619,0.004322876027301162,0.9176190476190476,0.9459523809523809,0.0035672784373821194,0.08779058516788353,0.6200558739789691,1.5390951349580109,0.11091718052180999,1.5162156688471766
anchor,21,7.005,1.0,200,identity,106467,0.9316666666666668,0.004044802871495733,0.9295238095238095,0.004309180392425315,0.9311904761904762,0.9528571428571427,0.0034257186823720776,0.05926167398550091,0.4884068098017401,1.334944024612179,0.06883791143694638,1.315099373117125
anchor,21,7.005,1.0,200,identity,187851,0.9378571428571427,0.0038220287103700175,0.9373809523809524,0.003886772127729963,0.9385714285714286,0.9530952380952381,0.0033498292813481504,0.04043210675521031,0.40083794699737707,1.209276664322727,0.04985709433339213,1.1913001248408128
anchor,21,7.005,1.0,200,identity,331445,0.9395238095238095,0.004074730087958449,0.9383333333333332,0.0040759533580588606,0.9397619047619047,0.9507142857142857,0.003625890873909017,0.027878177459316544,0.33554962145024286,1.141403874552649,0.03522388582227803,1.1244363001165731
anchor,21,7.005,1.0,200,identity,584803,0.9407142857142857,0.003705469008835394,0.9407142857142857,0.003674588918716708,0.9428571428571427,0.9509523809523809,0.003586909099213053,0.019463132445167012,0.29293448549555373,1.0775834330731295,0.026883574902749008,1.0615645833746243
anchor,21,7.005,1.0,200,identity,1031829,0.9476190476190476,0.003475418428887147,0.9473809523809524,0.003465527280027654,0.95,0.9521428571428571,0.0032465280872132473,0.013593208945331675,0.31023151984160907,1.0569304791377079,0.026796283412558124,1.0412186465617452
anchor,21,7.005,1.0,200,identity,1820564,0.9464285714285714,0.003712228156147467,0.9461904761904762,0.003687165146619551,0.9483333333333333,0.9488095238095238,0.0035393792092586517,0.009509897673474191,0.29026612927141504,1.0375138314763965,0.024683473349231332,1.0220906376739982
anchor,21,7.005,1.0,200,identity,3212210,0.9473809523809524,0.0035946441749012655,0.9478571428571427,0.003549987485712322,0.9488095238095238,0.949047619047619,0.0033503819988253696,0.006651148141202636,0.28470171428109503,0.9826747436435422,0.022884688794210364,0.9680667619895825
anchor,21,7.005,1.0,200,identity,5667636,0.9445238095238095,0.003933399615995405,0.9447619047619048,0.0039429840694532176,0.9466666666666668,0.949047619047619,0.0037515023939219644,0.004784859316552925,0.3094909589126385,1.0395767490096357,0.026068862976594876,1.0241228888431386
anchor,21,7.005,1.0,200,identity,10000000,0.9454761904761905,0.003913359644849025,0.945,0.0039524732083438836,0.9461904761904762,0.9511904761904763,0.0037504011719613328,0.003441262800209938,0.3076191762612072,1.0296696293512446,0.026203582567131102,1.0143630437770268
anchor,21,7.005,1.0,200,ons,2000,0.7961904761904762,0.007049804670698892,0.7488095238095238,0.007433563431502396,0.7509523809523809,0.9485714285714286,0.004353901733625309,1.857832643977595,0.9634785363741877,19.04013109679388,4.252049715083094,18.757089441810788
anchor,21,7.005,1.0,200,ons,3528,0.8180952380952381,0.006915995350863075,0.7852380952380952,0.007231956061958134,0.7873809523809524,0.9469047619047619,0.004122928747884827,1.0031117714017146,0.9729251839998605,16.105738082613083,3.766009133934338,15.866317737319632
anchor,21,7.005,1.0,200,ons,6226,0.8428571428571427,0.005827231866736201,0.8195238095238095,0.006248007009122841,0.8219047619047619,0.9504761904761905,0.0037565107736426202,0.5562846574241808,0.9753409151644221,12.187898596131008,2.9206519601162846,12.006719014337273
anchor,21,7.005,1.0,200,ons,10985,0.8614285714285714,0.005799692763327982,0.8473809523809525,0.006003465879862773,0.8492857142857143,0.9509523809523809,0.003817740600164825,0.2996500496327508,0.9715496002979975,8.289305448803344,1.9231303221984624,8.166080523462115
anchor,21,7.005,1.0,200,ons,19383,0.8811904761904762,0.005152639964756972,0.8747619047619046,0.005232871723864809,0.8769047619047619,0.9492857142857143,0.0037143762145299577,0.17528617917650194,0.9583539070594119,5.403643860497798,1.151284746990521,5.3233158263346265
anchor,21,7.005,1.0,200,ons,34199,0.8976190476190475,0.004877164557828186,0.8919047619047619,0.004829739380058707,0.8938095238095238,0.9542857142857143,0.003505452661415017,0.10854495476416932,0.9300631288266397,3.5823273657829544,0.6684298570192593,3.529074168042464
anchor,21,7.005,1.0,200,ons,60341,0.909047619047619,0.004667526084237183,0.9061904761904762,0.004784702546335603,0.9078571428571428,0.9485714285714286,0.00357816227289922,0.07072709183881135,0.8783872031388578,2.536125812528731,0.38661565378798296,2.4984249561861853
anchor,21,7.005,1.0,200,ons,106467,0.9211904761904762,0.0043960628223775515,0.9176190476190476,0.004397520612381602,0.9197619047619047,0.9547619047619048,0.003536359689975099,0.04754849126938681,0.7873905107445256,1.9063062074080566,0.22147099946377866,1.8779679537948673
anchor,21,7.005,1.0,200,ons,187851,0.9335714285714286,0.004091300410225025,0.9328571428571428,0.004067452778792158,0.9345238095238095,0.9554761904761905,0.003308758073585427,0.0326028332065685,0.6759369516033102,1.5436584363417711,0.13581958527512103,1.520711134333732
anchor,21,7.005,1.0,200,ons,331445,0.932142857142857,0.004154041996059258,0.9311904761904762,0.004184923935976952,0.9323809523809524,0.9519047619047619,0.003458821380851723,0.022734204197428044,0.5370254180619772,1.336132923986915,0.07948112380365716,1.3162705988716044
anchor,21,7.005,1.0,200,ons,584803,0.9366666666666665,0.0037454226518278877,0.9357142857142857,0.0038153520862216853,0.9388095238095238,0.9528571428571427,0.0034752544901890258,0.016043833185913535,0.3930092161225256,1.1876675933123135,0.04726071624552767,1.170012284140755
anchor,21,7.005,1.0,200,ons,1031829,0.9430952380952381,0.0036621639750292517,0.9428571428571427,0.0036978116816619973,0.9457142857142857,0.9528571428571427,0.0031843791409889555,0.011366634981445271,0.3499978996997246,1.1215837845180991,0.03352674658330684,1.1049108462406072
anchor,21,7.005,1.0,200,ons,1820564,0.9435714285714286,0.0036835707960051435,0.944047619047619,0.0036891347553160854,0.9459523809523809,0.95,0.003520211844468854,0.008095939687437232,0.3126997420746748,1.078135571453858,0.02809630759072418,1.0621085139252562
anchor,21,7.005,1.0,200,ons,3212210,0.9478571428571427,0.003566000501353871,0.9478571428571427,0.003566000501353871,0.949047619047619,0.9495238095238094,0.0033525919575092245,0.005747293138932349,0.290500977984999,1.0032979546209695,0.02431501088660564,0.9883833979893251
anchor,21,7.005,1.0,200,ons,5667636,0.9428571428571427,0.0038635791604932283,0.9428571428571427,0.0038635791604932283,0.9457142857142857,0.9492857142857143,0.0036835707960051435,0.004230504065419654,0.3119892070149711,1.051947993083323,0.026239010315352144,1.0363102278071912
anchor,21,7.005,1.0,200,ons,10000000,0.9445238095238095,0.003918888121925762,0.9445238095238095,0.003918888121925762,0.9457142857142857,0.9502380952380952,0.003763443183817052,0.0030988201536400195,0.309327726877543,1.0390923672986414,0.026299149212934705,1.0236457077233811
anchor,21,7.005,1.0,200,rmsprop,2000,0.8111904761904762,0.0067375432803116805,0.7588095238095238,0.007208974524065439,0.7611904761904762,0.9478571428571427,0.00375283102456794,1.8768696047195303,0.963653690190534,13.893953009545264,3.2397991596928803,13.687412023346846
anchor,21,7.005,1.0,200,rmsprop,3528,0.8342857142857143,0.006484011999102701,0.797142857142857,0.0067194437784302225,0.8,0.9466666666666665,0.0036444243227642366,0.9927835666939251,0.9722011395231483,11.152524636365474,2.7151583735537845,10.986736438045341
anchor,21,7.005,1.0,200,rmsprop,6226,0.8519047619047619,0.0055239704245034745,0.8271428571428571,0.005840025998914719,0.829047619047619,0.9502380952380952,0.003763443183817052,0.5405358485365461,0.9734744882504274,8.175074636785618,2.0110308002077555,8.053547813097113
